net,length_um
_2104_,198.24
_1145_,198.025
_1125_,196.11
clknet_leaf_24_clk,196.05
clknet_leaf_33_clk,194.63
_1236_,194.62
_1634_,193.16
_2501_,192.6
_2105_,192.265
net68,191.92
_1542_,191.71
clknet_leaf_60_clk,191.35
_2408_,190.975
_2323_,190.41
_2621_,188.82
_2327_,188.78
net65,187.42
net81,186.38
_1858_,185.66
_2333_,183.6
net66,182.76
_2305_,181.48
_2337_,179.04
_1957_,178.79
_2246_,177.28
_1277_,176.25
net77,174.54
clknet_leaf_30_clk,172.83
clknet_leaf_66_clk,172.7
_1202_,170.28
_2039_,168.955
net1,165.93
net37,165.6
_2255_,165.07
_2496_,165.01
_1941_,164.81
_1298_,162.71
clknet_leaf_16_clk,162.08
clknet_leaf_29_clk,161.98
_1216_,161.21
net63,159.72
_2175_,159.02
clknet_leaf_34_clk,158.26
net53,157.76
_2062_,156.54
_1601_,156.37
clknet_leaf_63_clk,155.125
clknet_leaf_27_clk,153.14
net79,152.82
net62,152.7
_3491_,152.65
net64,152.12
net52,151.84
clknet_leaf_62_clk,151.22
clknet_leaf_0_clk,151.15
clknet_leaf_73_clk,149.915
_1567_,148.86
_1110_,146.5
clknet_leaf_50_clk,146.24
net80,146.04
_1958_,145.96
_2286_,145.72
_3109_,145.01
_1874_,144.42
clknet_leaf_19_clk,144.14
_1361_,143.74
clknet_leaf_56_clk,143.16
_1666_,143.15
_1754_,143.07
_1430_,142.66
_3009_,141.9
net61,141.64
_1217_,141.26
_1070_,141.13
_3481_,140.86
clknet_leaf_8_clk,140.08
_3462_,140
clknet_leaf_52_clk,140
clknet_leaf_32_clk,139.87
clknet_leaf_51_clk,139.56
clknet_leaf_18_clk,138.98
_1085_,138.97
clknet_leaf_49_clk,138.26
clknet_leaf_45_clk,138.22
_1360_,136.46
_3130_,136.14
clknet_leaf_20_clk,136.04
_1798_,135.64
_1059_,134.64
net78,134.5
_3089_,134.27
clknet_leaf_44_clk,134.235
_3483_,133.77
net50,133.22
_3139_,133.04
clknet_leaf_71_clk,132.97
_2737_,131.44
_2426_,131.38
net58,130.35
_2458_,129.51
net122,129.24
_3472_,128.67
_3077_,128.66
_2731_,128.14
_3097_,126.88
clknet_leaf_42_clk,126.36
_2335_,126.09
clknet_leaf_4_clk,124.76
net76,124.52
_3454_,124.38
_2252_,123.58
clknet_leaf_2_clk,123.46
_2390_,122.31
_3506_,122.26
_2188_,121.85
_3442_,121.65
net59,121.12
_2472_,121.095
clknet_leaf_15_clk,120.52
_3460_,120.46
clknet_leaf_39_clk,120.18
_2420_,119.76
_2038_,119.51
_3128_,118.74
clknet_leaf_3_clk,118.58
_2586_,118.16
_2469_,118.14
_1877_,118.01
_2254_,117.39
_3067_,117.36
_1758_,117.06
_3118_,116.525
_3141_,116.22
clknet_leaf_12_clk,116.05
clknet_leaf_65_clk,115.67
_3450_,115.52
_2658_,114.07
_3124_,113.53
_2487_,112.42
_1255_,112.06
clknet_leaf_13_clk,111.855
_3458_,111.56
net54,111.44
clknet_leaf_61_clk,110.66
_3039_,110.53
clknet_leaf_25_clk,110.28
_3058_,109.49
clknet_leaf_7_clk,109.195
clknet_leaf_41_clk,109
_3017_,108.06
clknet_leaf_37_clk,107.68
clknet_leaf_47_clk,107.28
_2470_,106.88
net51,106.88
net57,106.8
_3019_,106.31
_3027_,106.28
_2336_,105.88
_3444_,105.83
clknet_leaf_1_clk,105.255
net56,105.24
_2613_,105.19
clknet_leaf_67_clk,105.08
clknet_leaf_5_clk,105
clknet_leaf_28_clk,105
_3452_,104.16
_1803_,104.02
_2650_,103.78
_3048_,103.68
_2347_,103.58
net34,102.75
_2729_,102.42
_3085_,102.36
clknet_leaf_17_clk,102.28
_3035_,102.2
_1083_,101.735
clknet_leaf_69_clk,101.18
clknet_leaf_74_clk,100.62
clknet_leaf_22_clk,99.58
_2210_,99.36
_3071_,98.52
_2605_,97.885
_3143_,97.78
_2626_,97.3
_1024_,96.4
_2314_,96.24
net109,95.78
_2741_,95.57
clknet_leaf_11_clk,95.5
clknet_leaf_59_clk,95.44
_1147_,95.08
_1558_,94.64
clknet_leaf_72_clk,94.26
_3087_,94.1
_2567_,93.9
clknet_leaf_58_clk,93.61
_3002_,93.4
_2140_,92.08
clknet_leaf_57_clk,91.415
_3079_,90.38
clknet_leaf_26_clk,90.22
clknet_leaf_10_clk,89.9
clknet_leaf_40_clk,89.54
clknet_leaf_9_clk,89.44
_1879_,89.38
clknet_leaf_64_clk,89.38
net2,88.94
net96,88.69
_2647_,88.6
_2460_,88.47
clknet_leaf_23_clk,88.14
_2476_,87.98
_3050_,87.9
clknet_leaf_43_clk,87.24
_1797_,87.22
_1446_,86.94
_1237_,86.56
_3029_,86.3
net7,86.195
_2823_,85.78
_2534_,85.52
_3041_,85.45
_3015_,84.465
_1587_,83.52
net55,83.42
_1146_,83.4
_3069_,82.95
net6,82.1
_2751_,81.94
_2331_,81.55
_2564_,80.8
_2750_,80.34
_3025_,79.62
_2588_,79.56
_2318_,79.5
clknet_leaf_46_clk,78.86
_2475_,78.68
_2488_,78.36
_3031_,78.34
_2444_,78
_1838_,77.47
_1077_,77.16
_2921_,77.08
net9,76.84
_1880_,76.62
_1511_,76.36
_3037_,76.22
_2766_,76.2
_3033_,75.46
_2299_,75.36
clknet_leaf_36_clk,75.22
clknet_leaf_31_clk,75.12
_2637_,74.94
_2474_,74.1
_1415_,73.68
_2704_,73.21
_2701_,72.34
_2692_,72.24
_2431_,72.05
_2856_,71.98
_2271_,71.88
_2445_,71.8
_2788_,71.24
_3155_,71.04
_2657_,70.95
_2193_,70.46
_1637_,70.24
_2013_,69.7
_1359_,69.48
_2715_,69.36
_2652_,68.05
_2056_,67.76
